experiment,status,updates,objective,gradient_norm,objective_evaluations
kappa_1/fixed,converged,1,1.2818989709841437e-30,1.6011864169946878e-15,2
kappa_1/momentum,converged,1,3.944304526105058e-31,8.88178419700125e-16,2
kappa_1/armijo,converged,1,1.2818989709841437e-30,1.6011864169946878e-15,3
kappa_1/unstable,diverged,350,1.1797490159585534e+30,1536065764190161.8,351
kappa_10/fixed,converged,186,4.3311046978639977e-17,9.307099116119906e-09,187
kappa_10/momentum,converged,41,1.5247471467324681e-18,5.507063439962142e-09,42
kappa_10/armijo,converged,79,2.360098357812896e-17,7.884838184909741e-09,345
kappa_10/unstable,diverged,340,1.1147538228206128e+30,4721766243304750.0,341
kappa_100/fixed,converged,1943,4.9745222408409876e-17,9.974489702075976e-09,1944
kappa_100/momentum,converged,150,4.2634683184217925e-19,9.233861888614801e-09,151
kappa_100/armijo,converged,891,2.365011198994561e-17,9.366344071914078e-09,6762
kappa_100/unstable,diverged,328,1.1317604847881746e+30,1.5045002391413398e+16,329
